"","Compound.Name","type","SampID","Normer","m","sd","rsd","Poo.Picked.IS","PooPlus.IS"
"84","13C-Sulfoacetic Acid","Poo","April10AqExtracts","13C Acetyl CoA.Norm.Area",16739083.4250601,2858019.75120015,0.170739321779197,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"85","13C-Sulfoacetic Acid","Poo","April10AqExtracts","15N AMP.Norm.Area",17661479.7745004,2230187.47831464,0.126274100856179,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"86","13C-Sulfoacetic Acid","Poo","April10AqExtracts","15N GMP.Norm.Area",17065858.8632725,739803.303155843,0.0433499016418082,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"87","13C-Sulfoacetic Acid","Poo","April10AqExtracts","D-Methionine.Norm.Area",18833153.5863832,4543116.27211607,0.241229714995839,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"88","13C-Sulfoacetic Acid","Poo","April10AqExtracts","d3-Cysteic Acid.Norm.Area",17999247.5500369,4035003.36299666,0.224176224688258,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"89","13C-Sulfoacetic Acid","Poo","April10AqExtracts","d4 Succinic Acid.Norm.Area",17463582.2700449,1862519.38472264,0.106651622554978,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"90","13C-Sulfoacetic Acid","Poo","April10AqExtracts","d4 Taurine.Norm.Area",16090215.0574522,1548874.28745453,0.0962618760485221,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"91","13C-Sulfoacetic Acid","Poo","April10AqExtracts","Heavy Alanine.Norm.Area",16944359.4564833,1992786.66287037,0.117607671625963,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"92","13C-Sulfoacetic Acid","Poo","April10AqExtracts","Heavy Histidine.Norm.Area",16568068.6016585,2165913.37496458,0.13072817520491,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"93","13C-Sulfoacetic Acid","Poo","April10AqExtracts","Heavy Isoleucine.Norm.Area",17539443.5945583,3765434.17441093,0.214683787094546,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"94","13C-Sulfoacetic Acid","Poo","April10AqExtracts","Heavy Proline.Norm.Area",15026448.4851943,2572559.9947401,0.171202130515063,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"95","13C-Sulfoacetic Acid","Poo","April10AqExtracts","Heavy Valine.Norm.Area",17811647.3172092,2026920.06659879,0.113797451212748,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"96","13C-Sulfoacetic Acid","Poo","April10AqExtracts","inj.vol.Norm.Area",19670256.3333333,3385528.02813775,0.172114077761184,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"97","13C-Sulfoacetic Acid","Smp","32ppt-1C","13C-Isethionic Acid.Norm.Area",13801032.0225779,3245670.76720887,0.235175946400174,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"98","13C-Sulfoacetic Acid","Smp","32ppt-1C","13C-Sulfoacetic Acid.Norm.Area",14621476,0,0,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"99","13C-Sulfoacetic Acid","Smp","32ppt-1C","13C-Sulfolactic Acid.Norm.Area",18974924.1281162,3917068.12727397,0.206433928316468,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"100","13C-Sulfoacetic Acid","Smp","32ppt-1C","13C Acetyl CoA.Norm.Area",14803851.3392195,3566028.14181049,0.240885162928048,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"101","13C-Sulfoacetic Acid","Smp","32ppt-1C","15N AMP.Norm.Area",13256666.5874343,2496425.84745979,0.188314749488088,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"102","13C-Sulfoacetic Acid","Smp","32ppt-1C","15N GMP.Norm.Area",14147144.9501694,1587672.05117234,0.112225615611108,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"103","13C-Sulfoacetic Acid","Smp","32ppt-1C","D-Methionine.Norm.Area",14705614.1039425,3719515.64836432,0.252931677798286,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"104","13C-Sulfoacetic Acid","Smp","32ppt-1C","d3-Cysteic Acid.Norm.Area",13801706.3925172,2659281.3286618,0.192677720640657,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"105","13C-Sulfoacetic Acid","Smp","32ppt-1C","d4 Succinic Acid.Norm.Area",15187115.7259367,3602244.48458212,0.237190823431349,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"106","13C-Sulfoacetic Acid","Smp","32ppt-1C","d4 Taurine.Norm.Area",16857575.0088791,3625223.10944546,0.215050095137409,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"107","13C-Sulfoacetic Acid","Smp","32ppt-1C","Heavy Alanine.Norm.Area",15018163.4276174,3219516.2560715,0.214374831622289,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"108","13C-Sulfoacetic Acid","Smp","32ppt-1C","Heavy Histidine.Norm.Area",11368728.6706248,2154347.63673369,0.189497673763666,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"109","13C-Sulfoacetic Acid","Smp","32ppt-1C","Heavy Isoleucine.Norm.Area",15262739.8362908,3972659.6744069,0.26028483201692,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"110","13C-Sulfoacetic Acid","Smp","32ppt-1C","Heavy Proline.Norm.Area",16108252.3464916,3614512.15757005,0.224388846152966,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"111","13C-Sulfoacetic Acid","Smp","32ppt-1C","Heavy Valine.Norm.Area",15970712.0427418,3530330.08169874,0.221050262020294,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"112","13C-Sulfoacetic Acid","Smp","32ppt-1C","inj.vol.Norm.Area",16059351.3333333,3376536.28704999,0.210253591005356,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"113","13C-Sulfoacetic Acid","Smp","32ppt4C","13C-Isethionic Acid.Norm.Area",18496082.7724785,3648020.89435491,0.19723208093462,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"114","13C-Sulfoacetic Acid","Smp","32ppt4C","13C-Sulfoacetic Acid.Norm.Area",14621476,0,0,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"115","13C-Sulfoacetic Acid","Smp","32ppt4C","13C-Sulfolactic Acid.Norm.Area",14718520.036435,3228406.20324618,0.219343126568053,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"116","13C-Sulfoacetic Acid","Smp","32ppt4C","13C Acetyl CoA.Norm.Area",19764518.526249,441579.312915783,0.0223420222622336,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"117","13C-Sulfoacetic Acid","Smp","32ppt4C","15N AMP.Norm.Area",19114308.2931876,2063711.53410709,0.107966843604934,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"118","13C-Sulfoacetic Acid","Smp","32ppt4C","15N GMP.Norm.Area",16985949.019051,1849463.49189563,0.108881964135258,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"119","13C-Sulfoacetic Acid","Smp","32ppt4C","D-Methionine.Norm.Area",15095053.2381547,2335330.25921711,0.154708315523808,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"120","13C-Sulfoacetic Acid","Smp","32ppt4C","d3-Cysteic Acid.Norm.Area",19080976.4477212,2063350.43928662,0.108136522517067,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"121","13C-Sulfoacetic Acid","Smp","32ppt4C","d4 Succinic Acid.Norm.Area",17211803.0509528,1756089.62264293,0.10202821967253,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"122","13C-Sulfoacetic Acid","Smp","32ppt4C","d4 Taurine.Norm.Area",18338019.694066,4019668.30956479,0.219198603591069,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"123","13C-Sulfoacetic Acid","Smp","32ppt4C","Heavy Alanine.Norm.Area",19113979.7104576,3411942.31428951,0.178505071469903,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"124","13C-Sulfoacetic Acid","Smp","32ppt4C","Heavy Histidine.Norm.Area",23715886.8901966,3093331.7453717,0.130432893346712,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"125","13C-Sulfoacetic Acid","Smp","32ppt4C","Heavy Isoleucine.Norm.Area",17084722.9425753,3510590.8021736,0.20548128371606,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"126","13C-Sulfoacetic Acid","Smp","32ppt4C","Heavy Proline.Norm.Area",15433062.9661468,3371368.12510632,0.218451005642988,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"127","13C-Sulfoacetic Acid","Smp","32ppt4C","Heavy Valine.Norm.Area",15294955.4893309,3288835.88577436,0.215027489819666,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"128","13C-Sulfoacetic Acid","Smp","32ppt4C","inj.vol.Norm.Area",19533724.6666667,3898857.0620254,0.199596192152673,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"129","13C-Sulfoacetic Acid","Smp","40ppt-1C","13C-Isethionic Acid.Norm.Area",11392995.2652168,1212678.28181174,0.106440690405102,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
