Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Cysteic Acid,13.14,4530352,0,505519,-4.8,Internal Standard,171.016047
Internal Standard,170410_Blk_FilterBlk_A,Heavy Sulfolactic Acid,13.52,5108885,0,499199,-4.3,Internal Standard,171.991297
Internal Standard,170410_Blk_FilterBlk_B,Heavy Sulfolactic Acid,13.5,5903855,0,563983,-4.3,Internal Standard,171.991297
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Sulfolactic Acid,13.78,6216591,0,782009,-4.3,Internal Standard,171.991297
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Sulfolactic Acid,14.15,4252802,0,516521,-4.8,Internal Standard,171.991297
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Sulfolactic Acid,14.07,3947163,0,418045,-4.5,Internal Standard,171.991297
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Sulfolactic Acid,13.88,2539361,0,313829,-4.6,Internal Standard,171.991297
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Sulfolactic Acid,14.1,1888863,0,203342,-4.8,Internal Standard,171.991297
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Sulfolactic Acid,14.03,1862514,0,218529,-4.5,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Sulfolactic Acid,13.74,5965312,0,668588,-4.1,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Sulfolactic Acid,14.13,3299144,0,391360,-4.8,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Sulfolactic Acid,14.15,3128051,0,350543,-4.7,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Sulfolactic Acid,13.83,6662708,0,732579,-4.4,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Sulfolactic Acid,14.03,6896885,0,675805,-4.6,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Sulfolactic Acid,14.12,4373594,0,499883,-4.7,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Sulfolactic Acid,13.91,5874743,0,639053,-4.3,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Sulfolactic Acid,14.08,6252734,0,655286,-4.8,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Sulfolactic Acid,14.14,6497077,0,709809,-5.1,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Sulfolactic Acid,13.89,6165803,0,691571,-4.1,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Sulfolactic Acid,14.17,3869220,0,428059,-4.8,Internal Standard,171.991297
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Sulfolactic Acid,14.15,3326468,0,394375,-5,Internal Standard,171.991297
Internal Standard,170410_Blk_FilterBlk_A,Heavy Isotheonic Acid,6.29,49468068,0,1969144,-8.3,Internal Standard,126.998113
Internal Standard,170410_Blk_FilterBlk_B,Heavy Isotheonic Acid,6.21,49614956,29112,2019634,-8.5,Internal Standard,126.998113
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Isotheonic Acid,6,25721664,0,600077,-8.5,Internal Standard,126.998113
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Isotheonic Acid,6.16,11057744,0,545199,-6.5,Internal Standard,126.998113
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Isotheonic Acid,6.03,21070622,0,610418,-8.4,Internal Standard,126.998113
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Isotheonic Acid,6.12,13045646,0,356513,-8.1,Internal Standard,126.998113
